event_time,revenue_usd,uid,is_test
2023-03-09 21:49:27,2.99,15916731,0
2023-03-09 21:54:54,49.99,15777029,0
2023-03-09 21:55:06,49.99,15777029,0
2023-03-09 21:55:44,0.99,15777029,0
2023-03-09 21:55:56,0.99,15777029,0
2023-03-09 21:56:09,4.99,15777029,0
2023-03-09 21:56:28,19.99,15777029,0
2023-03-09 22:10:13,2.99,15769677,0
2023-03-09 22:14:15,2.99,15917225,0
2023-03-09 22:15:23,2.99,15905163,0
2023-03-09 22:17:27,2.99,15917339,0
2023-03-09 22:18:00,19.99,15917339,0
2023-03-09 22:28:56,2.99,15917413,0
2023-03-09 22:32:07,0.99,15917487,0
2023-03-09 22:32:35,2.99,15917487,0
2023-03-09 22:35:32,0.99,15733873,0
2023-03-09 22:38:40,2.99,15895727,0
2023-03-09 22:39:09,19.99,15917581,0
2023-03-09 22:39:18,19.99,15917581,0
2023-03-09 22:39:29,2.99,15917581,0
2023-03-09 22:47:33,19.99,15777029,0
2023-03-09 23:07:27,19.99,15917863,0
2023-03-09 23:08:04,19.99,15917863,0
2023-03-09 23:08:21,2.99,15917863,0
2023-03-09 23:08:28,19.99,15917863,0
2023-03-10 00:03:19,2.99,15918335,0
2023-03-10 00:03:34,2.99,15918335,0
2023-03-10 00:03:58,2.99,15918335,0
2023-03-10 00:04:19,2.99,15918335,0
2023-03-10 00:13:57,49.99,15916035,0
2023-03-10 00:14:07,19.99,15916035,0
2023-03-10 00:14:34,19.99,15916035,0
2023-03-10 00:15:08,4.99,15801407,0
2023-03-10 00:15:27,19.99,15916035,0
2023-03-10 00:15:47,19.99,15916035,0
2023-03-10 00:15:54,19.99,15916035,0
2023-03-10 00:16:17,19.99,15916035,0
2023-03-10 00:16:48,19.99,15916035,0
2023-03-10 00:20:44,19.99,15918335,0
2023-03-10 00:20:56,4.99,15918335,0
2023-03-10 00:21:09,19.99,15918335,0
2023-03-10 00:21:22,2.99,15918335,0
2023-03-10 00:21:53,19.99,15918335,0
2023-03-10 00:22:14,2.99,15918335,0
2023-03-10 00:22:25,2.99,15918335,0
2023-03-10 00:22:48,6.99,15918335,0
2023-03-10 00:23:23,4.99,15918335,0
2023-03-10 00:44:59,19.99,15879273,0
2023-03-10 01:21:37,4.99,15818821,0
2023-03-10 01:41:24,4.99,15418781,0
2023-03-10 01:54:17,2.99,15910315,0
2023-03-10 02:11:30,2.99,15919137,0
2023-03-10 02:11:48,19.99,15919137,0
2023-03-10 02:12:02,19.99,15919137,0
2023-03-10 02:12:09,0.99,15849569,0
2023-03-10 02:12:33,2.99,15919137,0
2023-03-10 02:12:41,2.99,15919137,0
2023-03-10 02:13:01,0.99,15263673,0
2023-03-10 02:13:46,2.99,15900075,0
2023-03-10 02:14:53,2.99,15919151,0
2023-03-10 02:15:17,6.99,15919151,0
2023-03-10 02:15:46,19.99,15899961,0
2023-03-10 02:16:11,2.99,15899961,0
2023-03-10 02:28:26,19.99,15919235,0
2023-03-10 02:31:45,6.99,15919223,0
2023-03-10 02:39:29,19.99,15919223,0
2023-03-10 02:42:31,2.99,15919317,0
2023-03-10 02:54:20,49.99,15782739,0
2023-03-10 02:54:33,19.99,15782739,0
2023-03-10 03:15:27,19.99,15919223,0
2023-03-10 03:20:03,6.99,15863689,0
2023-03-10 03:24:56,2.99,15913881,0
2023-03-10 03:26:22,2.99,15919573,0
2023-03-10 03:35:45,2.99,15919631,0
2023-03-10 03:36:04,19.99,15919631,0
2023-03-10 03:48:58,0.99,15919717,0
2023-03-10 04:05:55,19.99,15919815,0
2023-03-10 04:06:07,49.99,15919815,0
2023-03-10 04:08:39,2.99,15919837,0
2023-03-10 04:08:54,19.99,15919837,0
2023-03-10 04:09:03,2.99,15918885,0
2023-03-10 04:09:05,0.99,15919837,0
2023-03-10 04:09:17,19.99,15919837,0
2023-03-10 04:09:28,2.99,15919837,0
2023-03-10 04:09:37,2.99,15919837,0
2023-03-10 04:10:27,2.99,15919837,0
2023-03-10 04:10:46,2.99,15919837,0
2023-03-10 04:10:53,2.99,15919837,0
2023-03-10 04:13:42,0.99,15911449,0
2023-03-10 04:14:44,2.99,15918757,0
2023-03-10 04:17:10,6.99,15862721,0
2023-03-10 04:19:22,9.99,15862721,0
2023-03-10 04:25:06,6.99,15862721,0
2023-03-10 04:25:57,6.99,15862721,0
2023-03-10 04:27:55,6.99,15862721,0
2023-03-10 04:29:55,49.99,15905367,0
2023-03-10 04:37:40,4.99,15918757,0
2023-03-10 04:39:16,2.99,15920051,0
2023-03-10 04:39:38,19.99,15920051,0
2023-03-10 04:54:55,0.99,15920125,0
2023-03-10 05:03:34,2.99,15920229,0
2023-03-10 05:03:46,2.99,15920229,0
2023-03-10 05:13:20,49.99,15862721,0
2023-03-10 05:29:00,9.99,15862721,0
2023-03-10 05:32:18,19.99,15878075,0
2023-03-10 05:46:58,2.99,15920557,0
2023-03-10 05:49:19,0.99,15918363,0
2023-03-10 05:52:56,0.99,15917855,0
2023-03-10 05:53:51,2.99,15910315,0
2023-03-10 05:54:53,4.99,15920557,0
2023-03-10 05:55:17,9.99,15920557,0
2023-03-10 05:59:58,6.99,15919005,0
2023-03-10 06:04:13,2.99,15862721,0
2023-03-10 06:05:21,6.99,15862721,0
2023-03-10 06:06:02,19.99,15862721,0
2023-03-10 06:08:18,0.99,15858865,0
2023-03-10 06:10:41,9.99,15862721,0
2023-03-10 06:21:26,49.99,15920625,0
